元の行番号,会社名,分類,理由,サイトURL,フォームURL
2003,福岡ソフトバンクホークス株式会社,除外リスト該当(親子・グループ会社),親子・グループ会社 / ソフトバンクグループ（除外にソフトバンク株式会社）,https://www.softbankhawks.co.jp/,https://www.softbankhawks.co.jp/company/inquiry.html
2128,株式会社DYM NEXT,除外リスト該当(親子・グループ会社),親子・グループ会社 / 株式会社DYM の子会社,https://dymnext.jp/,https://dymnext.jp/contact/
2133,ラクスルグループ,除外リスト該当(親子・グループ会社),同一グループ(グループ/ホールディングス表記) / 除外リスト: ラクスル株式会社,https://corp.raksul.com/,https://corp.raksul.com/contact/
99,バリュエンスホールディングス株式会社,重複,重複（会社名一致） / 380行目「バリュエンスホールディングス株式会社」を残した,https://www.valuence.inc/,https://www.valuence.inc/en/contact/
103,ミラリタ株式会社,重複,重複（会社名一致） / 337行目「ミラリタ株式会社」を残した,https://miralita.co.jp/,https://miralita.co.jp/contact
106,株式会社BPX,重複,重複（会社名一致） / 261行目「株式会社BPX」を残した,https://bpx.co.jp/,https://bpx.co.jp/contact/
107,株式会社IMK,重複,重複（会社名一致） / 468行目「株式会社IMK」を残した,https://imk-holdings.co.jp/,https://imk-holdings.co.jp/contact/
110,AnyMind Japan株式会社,重複,重複（ドメイン一致） / 1458行目「AnyMind Group株式会社」を残した,https://anymindgroup.com/,https://anymindgroup.com/contact/
114,株式会社FREE WEB HOPE,重複,重複（ドメイン一致） / 1127行目「株式会社free web」を残した,https://www.fwh.co.jp/,不明
119,株式会社Bamos,重複,重複（ドメイン一致） / 87行目「株式会社Bamosグループ」を残した,https://bamos.co.jp/,https://bamos.co.jp/contact/
121,スマートキャンプ株式会社,重複,重複（会社名一致） / 756行目「スマートキャンプ株式会社」を残した,https://smartcamp.co.jp/,https://smartcamp.co.jp/contact
127,株式会社電通エルフトアーキテクト,重複,重複（会社名一致） / 508行目「株式会社電通エルフトアーキテクト」を残した,https://elfto.com/,https://elfto.com/contact/
136,ZIHEN株式会社,重複,重複（会社名一致） / 124行目「ZIHEN株式会社」を残した,https://zihen.co.jp/,不明
163,By Up株式会社,重複,重複（会社名一致） / 139行目「株式会社By Up」を残した,https://corp.byup.jp/,不明
183,株式会社マナリンク,重複,重複（会社名一致） / 123行目「株式会社マナリンク」を残した,https://manalink.co.jp/,不明
194,株式会社Go-bling,重複,重複（会社名一致） / 2312行目「株式会社Ｇｏ‐ｂｌｉｎｇ」を残した,http://www.go-bling.com/,不明
206,合同会社ALLURE,重複,重複（会社名一致） / 170行目「ALLURE合同会社」を残した,要確認,不明
207,株式会社Bamos,重複,重複（会社名一致） / 119行目「株式会社Bamos」を残した,https://bamos.co.jp/,https://bamos.co.jp/contact/
215,株式会社MUFASA Technology 世田...,重複,重複（ドメイン一致） / 208行目「株式会社MUFASA Technology 青山...」を残した,https://mufasatech.com/,不明
217,株式会社Regal cast,重複,重複（ドメイン一致） / 221行目「株式会社Regal Cast リーガルキャスト」を残した,https://regalcast.co.jp/,不明
229,スリーカウント株式会社 求人採用サイト,重複,重複（ドメイン一致） / 200行目「スリーカウント株式会社」を残した,https://www.three-count.jp/,https://www.three-count.jp/inquiry/
264,株式会社Oxxx,重複,重複（会社名一致） / 2192行目「株式会社Ｏｘｘｘ」を残した,https://oxxx.co.jp/,https://oxxx.co.jp/ec/contact
272,株式会社ギークリー,重複,重複（会社名一致） / 125行目「株式会社ギークリー」を残した,https://corp.geekly.co.jp/,https://corp.geekly.co.jp/contact/
278,株式会社Add Flow,重複,重複（会社名一致） / 2212行目「株式会社ＡｄｄＦｌｏｗ」を残した,https://www.add-flow.com/,https://www.add-flow.com/contact/
325,アンテリジャンス・ホールディングス株式会社,重複,重複（ドメイン一致） / 482行目「アンテリジャンス税理士法人」を残した,https://antellijance.co.jp/,不明
359,MOON‐X Japan株式会社,重複,重複（会社名一致） / 1160行目「MOON-X Japan株式会社」を残した,https://www.moon-x-japan.co.jp/,https://www.moon-x-japan.co.jp/contact/others
379,世界へボカン株式会社,重複,重複（会社名一致） / 98行目「世界へボカン株式会社」を残した,不明,不明
382,株式会社創通メディカル,重複,重複（会社名一致） / 96行目「株式会社創通メディカル」を残した,https://st-medical.jp/,https://st-medical.jp/contact/
427,株式会社FREE WEB HOPE,重複,重複（会社名一致） / 114行目「株式会社FREE WEB HOPE」を残した,https://www.fwh.co.jp/,不明
430,株式会社リツビ&メディカランド,重複,重複（ドメイン一致） / 435行目「株式会社リツビ」を残した,https://www.ritsubi.co.jp/,不明
436,株式会社マスメディアン,重複,重複（会社名一致） / 97行目「株式会社マスメディアン」を残した,https://www.massmedian.co.jp/,https://www.massmedian.net/contact/add/
471,AnyMind Japan株式会社,重複,重複（会社名一致） / 110行目「AnyMind Japan株式会社」を残した,https://anymindgroup.com/,不明
475,MOON-X株式会社,重複,重複（会社名一致） / 112行目「MOON-X株式会社」を残した,https://www.moon-x.com/,https://www.moon-x.com/contact
484,株式会社メディア工房,重複,重複（会社名一致） / 134行目「株式会社メディア工房」を残した,https://www.mkb.ne.jp/,https://www.mkb.ne.jp/inquiry.php
534,株式会社TRAILBLAZER,重複,重複（会社名一致） / 95行目「株式会社TRAILBLAZER」を残した,https://www.trail-blazer.co.jp/,不明
593,株式会社ラフライフ／キャリアセンター,重複,重複（ドメイン一致） / 576行目「株式会社ラフライフ東京本社」を残した,https://laughlife.jp/,https://laughlife.jp/contact/
638,株式会社TWOSTONE&Sons,重複,重複（会社名一致） / 1383行目「株式会社Twostone&sons」を残した,https://twostone-s.com/,https://twostone-s.com/contact/
644,JOKERS株式会社 札幌オフィス,重複,重複（ドメイン一致） / 599行目「JOKER'S株式会社」を残した,https://jokers-inc.com/,不明
649,JOKERS株式会社 名古屋オフィス,重複,重複（ドメイン一致） / 599行目「JOKER'S株式会社」を残した,https://jokers-inc.com/,不明
656,アクシスコンサルティング株式会社,重複,重複（会社名一致） / 111行目「アクシスコンサルティング株式会社」を残した,https://axc-g.co.jp/,https://axc-g.co.jp/contact/
659,JOKERS株式会社 恵比寿オフィス,重複,重複（ドメイン一致） / 599行目「JOKER'S株式会社」を残した,https://jokers-inc.com/,不明
672,株式会社メディアハウスホールディングス,重複,重複（会社名一致） / 120行目「株式会社メディアハウスホールディングス」を残した,https://www.mediahouse.co.jp/,https://www.mediahouse.co.jp/contact/
676,XMile株式会社,重複,重複（会社名一致） / 485行目「X Mile株式会社」を残した,https://www.xmile.co.jp/,https://www.xmile.co.jp/inquiry
709,アシスト株式会社,重複,重複（会社名一致） / 620行目「株式会社アシスト」を残した,要確認,要確認
710,ジン不動産株式会社,重複,重複（ドメイン一致） / 2268行目「ジン不動産グループ ジン不動産株式会社」を残した,https://jinfudosan.co.jp/,https://jinfudosan.co.jp/form/inquiry/
786,株式会社TAiNER,重複,重複（会社名一致） / 108行目「株式会社TAiNER」を残した,https://tainer.co.jp/,不明
788,Side Kicks株式会社,重複,重複（会社名一致） / 782行目「SideKicks株式会社」を残した,https://side-k.co.jp/,https://side-k.co.jp/contact/
809,株式会社Cymed,重複,重複（会社名一致） / 307行目「株式会社CyMed」を残した,https://cymed.co.jp/,https://cymed.co.jp/contact
811,株式会社FaberCompany,重複,重複（会社名一致） / 996行目「株式会社Faber Company」を残した,https://www.fabercompany.co.jp/,https://www.fabercompany.co.jp/contact/
856,株式会社エムジー 福岡,重複,重複（ドメイン一致） / 224行目「株式会社エムジー熊本」を残した,https://m-group.co.jp/,不明
860,株式会社MUFASA Technology 代々...,重複,重複（ドメイン一致） / 208行目「株式会社MUFASA Technology 青山...」を残した,https://mufasatech.com/,不明
892,株式会社NEXER Group,重複,重複（ドメイン一致） / 810行目「株式会社NEXER」を残した,https://nexer.co.jp/,https://nexer.co.jp/contact
900,株式会社WaterAir,重複,重複（会社名一致） / 472行目「株式会社Water Air」を残した,https://waterair.jp/,https://waterair.jp/contact
913,株式会社オーガニックグループ,重複,重複（会社名一致） / 72行目「オーガニックグループ株式会社」を残した,https://organic-gr.com/,不明
921,株式会社sann,重複,重複（会社名一致） / 81行目「株式会社SANN」を残した,https://www.sann.co.jp/,不明
1042,本田技研工業-Honda-株式会社,重複,重複（ドメイン一致） / 1033行目「本田技研工業株式会社」を残した,https://www.honda.co.jp/,https://www.honda.co.jp/customer/
1128,SepteniJapan株式会社,重複,重複（会社名一致） / 497行目「Septeni Japan株式会社」を残した,https://www.septenijapan.co.jp/,不明
1195,J.P.Returns株式会社,重複,重複（会社名一致） / 1185行目「J.P.RETURNS株式会社」を残した,https://jpreturns.com/,https://jpreturns.com/contact/
1247,株式会社e-Spirit Casting,重複,重複（ドメイン一致） / 1993行目「株式会社イー・スピリット」を残した,https://www.e-spirit.jp/,不明
1259,AnyMind Group,重複,重複（ドメイン一致） / 110行目「AnyMind Japan株式会社」を残した,https://anymindgroup.com/,https://anymindgroup.com/ja/contact/
1276,AIQ株式会社,重複,重複（会社名一致） / 2264行目「ＡＩＱ株式会社」を残した,https://www.aiqlab.com/,https://www.aiqlab.com/contact/
1310,株式会社TrysLinx,重複,重複（ドメイン一致） / 1280行目「株式会社トライズリンクス」を残した,https://tryslinx.com/,不明
1316,Septeni Ad Creative株式会社,重複,重複（会社名一致） / 2233行目「Ｓｅｐｔｅｎｉ Ａｄ Ｃｒｅａｔｉｖｅ株式会社」を残した,https://www.septeni-adcreative.co.jp/,不明
1322,株式会社E-ach Advance,重複,重複（会社名一致） / 1326行目「株式会社E‐ach Advance」を残した,https://www.e-achadvance.com/,不明
1433,株式会社ギークリー 渋谷区,重複,重複（ドメイン一致） / 125行目「株式会社ギークリー」を残した,https://corp.geekly.co.jp/,https://corp.geekly.co.jp/contact/
1465,株式会社YumiCoreBody,重複,重複（会社名一致） / 1463行目「株式会社Yumi Core Body」を残した,https://yumicorebody.com/,不明
1472,株式会社Ultimate Life,重複,重複（会社名一致） / 1726行目「株式会社UltimateLife」を残した,https://ultimatelife.co.jp/,https://ultimatelife.co.jp/contact/
1542,GrowGroup株式会社,重複,重複（会社名一致） / 878行目「Grow Group株式会社」を残した,https://grow-group.jp/,https://grow-group.jp/contact/
1603,株式会社IPE,重複,重複（会社名一致） / 1337行目「株式会社ipe」を残した,https://ipeinc.jp/,https://ipeinc.jp/contact/
1718,株式会社MUFASA Technology,重複,重複（ドメイン一致） / 208行目「株式会社MUFASA Technology 青山...」を残した,https://mufasatech.com/,不明
1787,マーケットワン・ジャパン,重複,重複（会社名一致） / 1032行目「マーケットワン・ジャパン合同会社」を残した,https://japan.marketone.com/,https://www.marketone.com/jp/about-us/contact-us-new/
1793,ファベルカンパニー株式会社,重複,重複（ドメイン一致） / 996行目「株式会社Faber Company」を残した,https://www.fabercompany.co.jp/,不明
1835,株式会社トイント 御所西オフィス,重複,重複（ドメイン一致） / 1052行目「株式会社トイント」を残した,https://www.toint.co.jp/,不明
1849,bloom株式会社,重複,重複（会社名一致） / 1253行目「株式会社Bloom」を残した,要確認,要確認
1885,X Mile株式会社 新宿区,重複,重複（ドメイン一致） / 485行目「X Mile株式会社」を残した,https://www.xmile.co.jp/,https://www.xmile.co.jp/inquiry
1914,オーガニックグループ,重複,重複（会社名一致） / 72行目「オーガニックグループ株式会社」を残した,https://organic-gr.com/,不明
1951,合同会社BUZZ,重複,重複（会社名一致） / 313行目「株式会社BUZZ」を残した,要確認,要確認
1969,Mouser Electronics,重複,重複（ドメイン一致） / 1288行目「Mouser Japan合同会社」を残した,https://www.mouser.jp/,https://www.mouser.jp/help/contact-us/
1980,株式会社MUFASA Technology 渋谷...,重複,重複（ドメイン一致） / 208行目「株式会社MUFASA Technology 青山...」を残した,https://mufasatech.com/,不明
2024,株式会社HERO innovation,重複,重複（会社名一致） / 2165行目「株式会社HEROinnovation」を残した,https://hero-innovation.com/,不明
2055,タイガー魔法瓶,重複,重複（会社名一致） / 1460行目「タイガー魔法瓶株式会社」を残した,https://www.tiger-corporation.com/,https://www.tiger-corporation.com/ja/jpn/support/inquiry/
2085,リビンテクノロジーズ株式会社,重複,重複（会社名一致） / 421行目「リビン・テクノロジーズ株式会社」を残した,https://www.lvn.co.jp/,https://www.lvn.co.jp/contact/
2114,エクセレントケアシステム関東支社,重複,重複（ドメイン一致） / 2113行目「株式会社エクセレントケアシステム本部」を残した,https://www.excare.co.jp/,https://www.excare.co.jp/inquiry/
2200,株式会社ＫＡＹＡＫ,重複,重複（会社名一致） / 2189行目「株式会社KAYAK」を残した,https://kt-kayak.com/,不明
2209,株式会社Ｓｔｏｎｅ Ｐｒｏｄｕｃｔｉｏｎ,重複,重複（会社名一致） / 25行目「株式会社Stone Production」を残した,https://www.stone-production.jp/,不明
2216,株式会社ベクティム,重複,重複（ドメイン一致） / 2195行目「株式会社VECTIM」を残した,https://vectim.co.jp/,https://vectim.co.jp/contact/
2240,株式会社Globexa,重複,重複（会社名一致） / 2226行目「株式会社Ｇｌｏｂｅｘａ」を残した,https://globexa.jp/,不明
2253,株式会社ＬＩＭＡＲＫＳ,重複,重複（会社名一致） / 62行目「株式会社LIMARKS」を残した,https://limarks.com/,https://limarks.com/contact/
2265,株式会社Ｈ・Ｏ・Ｃ,重複,重複（会社名一致） / 2262行目「株式会社H・O・C」を残した,https://hoc-inc.jp/,https://hoc-inc.jp/info/contact/
2290,株式会社ＳＯＵＦＩＮＩＴＹ,重複,重複（会社名一致） / 2190行目「株式会社SOUFINITY」を残した,不明,不明
2300,SBCメディカルグループ,重複,重複（ドメイン一致） / 853行目「SBCメディカルグループホールディングス合同募集」を残した,https://sbc-holdings.com/ja,https://sbc-holdings.com/jp/ir/contact ※IR用
2316,株式会社スタッフサービス エンジニアガイド,重複,重複（ドメイン一致） / 2274行目「スタッフサービス・エンジニアリング」を残した,https://www.staffservice-engineering.jp/,https://sp.staffservice-engineering.jp/form/inquiry/entry1.php
2318,株式会社Go‐bling,重複,重複（会社名一致） / 2312行目「株式会社Ｇｏ‐ｂｌｉｎｇ」を残した,http://www.go-bling.com/,不明
